Title,Location,Price,Time
Iphone 13pro max 128 gb PTA approved,"Atomic Energy Employee Society, Islamabad•","Rs 290,000",2 days ago
Oneplus 10pro 12/256GB non-pta non-activefull box avail at Royl Mobile,"Model Town Link Road, Lahore•","Rs 114,999",22 hours ago
galaxy s21 plus- 8/128gb- Dual sim approve,"Wapda Town Phase 1, Multan•","Rs 95,000",5 hours ago
iphone 11 for sale 03436933431,"Izmir Town Extension, Lahore•","Rs 75,000",21 minutes ago
iphone xs non pta 64 gb,"Daulatpur, Nawabshah•","Rs 65,000",21 minutes ago
Samsung A52,"Others, Pind Dadan Khan•","Rs 55,500",21 minutes ago
"""Unbelievable Offer: Oppo A37 in Mint Condition! Grab it Now on OLX!","Transformer Chowk, Rawalpindi•","Rs 9,700",21 minutes ago
iphone 13pro,"DHA Phase 6, Lahore•","Rs 150,000",21 minutes ago
iPhone SE 2020,"Hajipura Road, Sialkot•","Rs 40,000",21 minutes ago
iphone 12 non pta,"Friends Colony, Rawalpindi•","Rs 100,000",20 minutes ago
"Tecno POP 4, 2/32, Exchange available","GT Road, Wah•","Rs 12,000",21 minutes ago
iphone 7 Plus non pta no box no charger,"Sadiq Town, Rahimyar Khan•","Rs 27,000",21 minutes ago
vivo y17 8/256 pta perch approve life time warranty,"Allahwala Town, Karachi•","Rs 18,500",21 minutes ago
redme note 11.6/128,"Gulshan-e-Ravi, Lahore•","Rs 37,000",21 minutes ago
samsung note 9,"Tariq Colony, Lahore•","Rs 53,000",22 minutes ago
iphone 7 128 GB,"Saima Arabian Villas, Karachi•","Rs 18,000",22 minutes ago
iphone 13,"DHA Phase 4, Lahore•","Rs 129,999",4 days ago
Redmagic 9 pro,"Blue Area, Islamabad•","Rs 235,000",3 weeks ago
Mint Condition iPhone 12Pro Max 128gb Blue JV NON PTA,"I-8, Islamabad•","Rs 155,000",2 days ago
Samsung s22 ultra,"Pakistani Chowk, Larkana•","Rs 205,000",1 day ago
iPhone X / 256GB / Wholesale - Retail,"Saddar Town, Karachi•","Rs 69,999",5 days ago
SAMSUNG GALAXY S21 5G 8/128GB DUAL SIM PTA,"Mall Road, Lahore•","Rs 82,000",2 days ago
4/64 oppo a15s lush condition exchange krna ho set inbox kro,"Cheema Town, Bahawalpur•","Rs 24,000",22 minutes ago
iphone x pta approved,"Aftab Garden, Lahore•","Rs 49,000",23 minutes ago
iphone 7 plus jv 128 gb full lush condition no fault.,"Saddar, Rawalpindi•","Rs 25,000",23 minutes ago
Samsung note 23,"Machli Chowk, Gujrat•","Rs 260,000",23 minutes ago
VIVO Y 17s,"Navy Housing Scheme Karsaz Phase-1, Karachi•","Rs 44,000",23 minutes ago
iphone 12 pro max,"G-9, Islamabad•","Rs 160,000",23 minutes ago
Samsung Galaxy A51  With Box PTA APPROVED  6 GB RAM & 128 GB ROM,"Marir Hassan, Rawalpindi•","Rs 42,000",23 minutes ago
IPHONE XS 64 GB FACTORY UNLOCK NON PTA,"Gulistan-e-Jauhar Block 2, Karachi•","Rs 60,000",23 minutes ago
Tecno camon 19 neo,"Isa Khel, Mianwali•","Rs 35,000",23 minutes ago
iphone 11 with box,"Mubarikpura, Sialkot•","Rs 82,000",23 minutes ago
11 pro water pak,"Pak Avenue Colony, Sahiwal•","Rs 88,000",23 minutes ago
iphone x 256 gb water pack,"Dhok Mustaqeem Road, Rawalpindi•","Rs 59,000",23 minutes ago
4/128 exchange possible,"Misri Shah, Lahore•","Rs 23,000",23 minutes ago
Iphone 13 pro max Non Pta 90% battery health Sierra Blue 128 GB,"Sajid Garden, Lahore•","Rs 210,000",2 weeks ago
iphone X /Xs /XsMax,"DHA Defence, Lahore•","Rs 47,999",4 days ago
s24 ultra silver colour available 256gb non pta,"Canal City, Sarai Alamgir•","Rs 350,000",3 days ago
huawei mate 10 pro,"Al Raziq Garden, Lahore•","Rs 38,000",6 days ago
Samsung S22Ultra PTA,"Cantt, Lahore•","Rs 170,000",4 days ago
Oneplus 9 8gb 128gb 12gb/256gb global dual sim available,"Johar Town, Lahore•","Rs 68,999",2 days ago
4/128 exchange possible,"Misri Shah, Lahore•","Rs 23,000",23 minutes ago
Realme GT Master,"Data Darbar Road, Lahore•","Rs 55,000",23 minutes ago
13 pro max 256 Gb Non pta Comp Box,"Bilal Town, Abbottabad•","Rs 215,000",23 minutes ago
iphone x,"Surjani Town, Karachi•","Rs 65,000",23 minutes ago
Vivo y17,"Gulistan-e-Jauhar, Karachi•","Rs 17,000",23 minutes ago
samsung z flip 5 256gb pta,"Model Town, Lahore•","Rs 225,000",22 minutes ago
Oppo Reno Z,"Surjani Town, Karachi•","Rs 20,000",23 minutes ago
vivo y16,"Gujjarpura, Lahore•","Rs 21,000",24 minutes ago
Tecno camon 18t,"Multan Canyon, Multan•","Rs 25,000",24 minutes ago
Iphone 11 waterpack,"Factory Area Road, Sargodha•","Rs 64,500",24 minutes ago
Samsung Galaxy a7 4/128 gb with box charger pta proved offical,"Gajju Matah, Lahore•","Rs 16,500",24 minutes ago
oppo a54,"Surjani Town, Karachi•","Rs 26,000",24 minutes ago
oppo A17 all ok 4 64 bilkul new,"Raza Abad, Faisalabad•","Rs 35,000",24 minutes ago
iPhone 12,"Cantt, Lahore•","Rs 96,000",2 weeks ago
Oneplus 8t / 256Gb / PTA,"DHA Defence, Lahore•","Rs 70,000",7 hours ago
iphone 15 pro 256 gb,"Bahria Town Phase 8, Rawalpindi•","Rs 330,000",1 day ago
Samsung S22 Cellarena,"DHA Defence, Karachi•","Rs 115,000",1 day ago
Samsung Galaxy S22 Plus,"Cantt, Lahore•","Rs 128,000",1 week ago
Motorola Edge Plus 2020 5g (12/256) Fresh Waterpack Non-refurbished,"Kalma Chowk, Lahore•","Rs 59,999",3 days ago
oppo a18,"Pearl Avenue Housing Scheme, Faisalabad•","Rs 32,000",24 minutes ago
Apple iphone 14 pro max 128gb,"F-8, Islamabad•","Rs 226,000",24 minutes ago
iPhone 12 bro ono pta,"Kahna Kacha, Lahore•","Rs 123,000",24 minutes ago
moto E2020 2/32 pta approve only mobile,"Allahwala Town, Karachi•","Rs 12,000",25 minutes ago
i phone 8plus 64gb non pta sealed phone with orignal battery,"Gulistan-e-Jauhar, Karachi•","Rs 32,500",25 minutes ago
Lg v60 5G,"I-9, Islamabad•","Rs 50,000",25 minutes ago
iphone 14 pro max 256,"E-11/4, Islamabad•","Rs 400,000",25 minutes ago
new 11 pro max 256 GB,"Johar Town Phase 1, Lahore•","Rs 198,000",25 minutes ago
i phone 11 pro non pta 4month sim working 256 gb storage 89% battery,"G-13, Islamabad•","Rs 90,000",26 minutes ago
one plus 9R,"Sahiwal Road, Pakpattan•","Rs 80,000",26 minutes ago
iphone 12 pro 128,"Faisal Town, Chichawatni•","Rs 195,000",26 minutes ago
condition 10/10 Iphone x non pta 64 gb,"Shahi Bazar, Hyderabad•","Rs 43,000",25 minutes ago
Google Pixel 7 (non-pta),"Allama Iqbal Town, Lahore•","Rs 160,000",25 minutes ago
iPhone 12 Pro 128 GB NON-PTA,"Wahdat Road, Lahore•","Rs 133,000",2 weeks ago
Cellarena Samsung S21 Plus Approved,"DHA Defence, Karachi•","Rs 89,500",1 day ago
IPHONE 14 PRO MAX jv  512GB SIM SLOT VARIENT,"Wapda Town, Lahore•","Rs 222,000",1 week ago
iphone 13 promax 256gb factory unlock mint pta approved dual with box,"DHA Phase 5, Karachi•","Rs 240,000",1 week ago
iphone 14 pro jv 128GB deep purple all ok,"Nasir Colony, Karachi•","Rs 200,000",1 week ago
IPhone 15 Pro 256gb PTA Approve,"Satellite Town, Rawalpindi•","Rs 425,000",1 day ago
Infinix hot 10 4 64 03004904704,"Outfall Road, Lahore•","Rs 23,000",26 minutes ago
LG V40 THINQ,"Farooq Colony, Chishtian Sharif•","Rs 19,500",26 minutes ago
Infinix hot 10 03004904704,"Outfall Road, Lahore•","Rs 23,000",25 minutes ago
iphone 7 urgent sale for some reason,"Badin - Seerani Road, Badin•","Rs 30,000",26 minutes ago
oppo a12,"Gharyala Wala, Multan•","Rs 17,000",26 minutes ago
galaxy j7 pta approved for sale,"North Nazimabad, Karachi•","Rs 10,000",26 minutes ago
iPhone 6s bypass,"Korangi Industrial Area, Karachi•","Rs 9,000",26 minutes ago
Samsung Galaxy Note 4 3/32,"Mughalpura, Lahore•","Rs 10,000",27 minutes ago
iphone XR 64gb waterpack 81 health Jv black colour,"Green City Housing Scheme, Mansehra•","Rs 50,000",27 minutes ago
Vivo V29 5G,"Shah Rukn-e-Alam Colony, Multan•","Rs 140,000",27 minutes ago
Iphone 11,"Johar Town, Lahore•","Rs 82,000",27 minutes ago
Oppo A37,"Upper Mall, Lahore•","Rs 7,000",27 minutes ago
One plus 8.      Ram 12+4 room 256,"Khana Kacha Road, Lahore•","Rs 76,000",27 minutes ago
Oneplus 11 non-pta non active fresh stock available,"Johar Town, Lahore•","Rs 139,999",22 hours ago
VIVO Y83 6/128 FULL DISPLAY ALSO VIVO Y85 DUAL SIM PTA APPROVED LIFE,"Ghulam Mohammad Abad, Faisalabad•","Rs 11,499",2 weeks ago
IPHONE XR 64GB NON PTA JV,"Saddar, Karachi•","Rs 44,500",4 days ago
Samsung s22 plus 8gb/128gb dual sim pta approved),"Township, Lahore•","Rs 131,999",2 days ago
Techno Phantom Flip 5G,"Others, Abbottabad•","Rs 170,000",5 days ago
iPhone 12 PTA Approved 128gb,"Shama Road, Lahore•","Rs 175,000",3 days ago
iphone 7 plus non pta,"Mughalpura, Lahore•","Rs 21,000",27 minutes ago
moto one 5g 4 128 Price 27500,"Orangi Town, Karachi•","Rs 27,500",27 minutes ago
Iphone 6s pta approved,"Clifton, Karachi•","Rs 17,000",27 minutes ago
urgent sale,"Lalkurti, Rawalpindi•","Rs 42,000",27 minutes ago
Tecno Camon 19 Neo,"New Karachi - Sector 5-A, Karachi•","Rs 35,000",27 minutes ago
iPhone 7+,"Railway Road, Lala Musa•","Rs 45,000",27 minutes ago
Samsung A12 4/64,"I-8, Islamabad•","Rs 28,000",27 minutes ago
Samsung Mobile J7,"Qatar Garhi, Kasur•","Rs 10,000",28 minutes ago
"iphone 13mini, 128gb","Latifabad, Hyderabad•","Rs 100,000",28 minutes ago
iphone 13 pro max 256 gb JV with box,"Kamran Chowrangi, Karachi•","Rs 185,000",28 minutes ago
Iphone 13. . . Jv. . . . 128Gb,"Shadbagh, Lahore•","Rs 108,000",28 minutes ago
Samsung s21 ultra dual sim 12/256,"Shahdara, Lahore•","Rs 104,999",28 minutes ago
Only Mobile only Touch change,"Others, Muzaffargarh•","Rs 15,000",28 minutes ago
Iphone 12 Jv,"Shama Road, Lahore•","Rs 81,000",1 day ago
One Plus 9 5G ( 12/256 ) Dual sim APPROVED,"Clifton, Karachi•","Rs 75,000",21 hours ago
Samsung A32 - With Box,"G-13, Islamabad•","Rs 43,500",3 days ago
Google Pixel 6 8gb 128gb factory unlocked,"Saddar, Karachi•","Rs 62,000",1 day ago
iphone 14 pro 1000 GB JV,"Allama Iqbal Town, Lahore•","Rs 225,000",4 days ago
iPhone13promax 512GB,"Saddar, Rawalpindi•","Rs 248,000",5 days ago
"POCO X3 PRO, 8+3/256,","GT Road, Wah•","Rs 58,000",27 minutes ago
Vivo y31 4gp 128gp,"Gulshan-e-Iqbal, Karachi•","Rs 30,000",27 minutes ago
need cash argent sale,"Others, Sargodha•","Rs 21,000",27 minutes ago
Oppo A5s 3gb 32gb only mobile condition 10 by 8,"Gujrat Bypass, Gujrat•","Rs 15,500",27 minutes ago
"Note 9, note 8, s8, s8 plus, s7 edge parts only","Range Road, Rawalpindi•","Rs 2,000",27 minutes ago
Vivo S1 4Gb 128Gb All Okay No Open No Repair With Original Charger,"Bund Road, Lahore•","Rs 30,000",28 minutes ago
I phone X 10 by 10 black colour water pack pta block battery health 69,"Saddar, Peshawar•","Rs 45,000",28 minutes ago
One Plus 7 Pro for Sell.,"Gulistan-e-Jauhar Block 19, Karachi•","Rs 42,000",28 minutes ago
"iphone 14 pro max, 128gb, non pta, new","Hafizabad Road, Gujranwala•","Rs 330,000",28 minutes ago
Infinix Hot 11S | 6GB/128GB | 90Hz FHD+ Display | box & accessories,"Cantt, Multan•","Rs 25,000",28 minutes ago
iphone 14 pro PTA APPROVED 512 GB,"Gulberg 2, Lahore•","Rs 360,000",29 minutes ago
Motorola Droid Turbo 2,"Taiser Town, Karachi•","Rs 7,500",29 minutes ago
IPhone 12 64GB Pta Approved,"DHA Phase 2, Lahore•","Rs 135,000",29 minutes ago
iphone 14 pro max,"Lahore - Sheikhupura - Faisalabad Road, Faisalabad•","Rs 290,000",3 days ago
Oppo A57 4GB/64GB PTA Approved,"Bhogiwal, Lahore•","Rs 9,999",4 days ago
"Tecno Camon 20 (8,256GB) On Easy installment Plan","Canal Colony, Lahore•","Rs 4,950",4 days ago
"iPhone 14 Pro Max PTA Approved, 128GB","Askari 10, Lahore•","Rs 400,000",1 week ago
iPhone SE,"Model Town, Lahore•","Rs 29,000",2 hours ago
iphone SE 2016  (64gb) Non Pta,"Garden West, Karachi•","Rs 10,500",2 weeks ago
Huawei p10 lite 3/32,"Hafizabad Road, Gujranwala•","Rs 9,000",29 minutes ago
Vivo Y33s urgent sale,"Muzzaffarabad City, Muzaffarabad•","Rs 27,000",29 minutes ago
IPHONE 8(NON PTA JV),"Shadbagh, Lahore•","Rs 25,500",29 minutes ago
Redmo note 9 pro,"Gulshan-e-Iqbal, Karachi•","Rs 30,000",29 minutes ago
iphone 8,"Tajpura, Lahore•","Rs 28,000",30 minutes ago
Motorola Moto one 5g,"Surjani Town, Karachi•","Rs 29,000",30 minutes ago
jazz digit 4g e2 pro,"Walayat Colony, Rawalpindi•","Rs 6,000",30 minutes ago
Samsung Galaxy Grand prime plus,"GT Road, Wah•","Rs 5,500",29 minutes ago
OnePlus 8T 12/256,"Muridke - Sheikhupura Road, Muridike•","Rs 75,000",30 minutes ago
mi note 10 lite 8/128gb,"Daroghewala, Lahore•","Rs 48,000",30 minutes ago
iphone 12 mini exchange possible,"Awanpura, Multan•","Rs 63,000",30 minutes ago
iPhone 7 32gb,"P.I.B. Colony, Karachi•","Rs 22,000",30 minutes ago
Iphone Xs ( 256 ),"Al-Noor Colony, Rawalpindi•","Rs 52,500",30 minutes ago
iPhone 13 Pro Non Active,"Shalimar Link Road, Lahore•","Rs 152,000",3 days ago
Brand New Box Pack Apple Iphone 15 Pro 128GB Physical + E NON-Active,"Wapda Town, Lahore•","Rs 309,999",8 hours ago
Google Pixel 6a,"Garhi Shahu, Lahore•","Rs 55,000",6 days ago
OnePlus 9 8/128,"Saddar, Rawalpindi•","Rs 68,000",4 weeks ago
Iphone 11 Pro Max,"Queens Road, Sukkur•","Rs 180,000",6 days ago
"Apple iphone x 256gb water pack with box PTA approved, best condition.","Model Colony - Malir, Karachi•","Rs 83,000",10 hours ago
Iphone 11 pro max PTA approved,"Ittehad Colony, Lahore•","Rs 150,000",30 minutes ago
vivo 4 64,"Surjani Town, Karachi•","Rs 10,000",30 minutes ago
I phone 12pro,"Bahria Town Phase 7, Rawalpindi•","Rs 150,000",30 minutes ago
samsung z fold2,"Liberty Market, Lahore•","Rs 130,000",31 minutes ago
mi 11 lite 5g 256 gb for sale,"New Samanabad, Lahore•","Rs 70,000",31 minutes ago
sumsung note 10 plus,"Gulshan-e-Rail, Lahore•","Rs 105,000",31 minutes ago
sparx neo 7 ultra,"Daska Road, Sialkot•","Rs 26,000",31 minutes ago
Oneplus 8  8 RAM 128gb  WhatsApp number 0325/15/12/151,"Bahria Town - Sector D, Lahore•","Rs 31,000",31 minutes ago
"Iphone 13 Pro Max, 128GB,  JV","Johar Town Phase 1, Lahore•","Rs 165,000",31 minutes ago
iPhone 6plus non pta,"Adiala Road, Rawalpindi•","Rs 12,000",31 minutes ago
Samsung,"TECH Town (TNT Colony), Faisalabad•","Rs 15,000",31 minutes ago
vivo y 83 6GB Ram 128,"Saddar, Lahore•","Rs 22,000",31 minutes ago
xs max 256gb,"Punjab Coop Housing Society, Lahore•","Rs 120,000",31 minutes ago
IPhone 11 Pro waterpack FU non pta,"Chungi Amar Sadhu, Lahore•","Rs 85,999",5 days ago
Google pixel 7pro,"Gulberg, Lahore•","Rs 122,000",4 days ago
Oppo A17,"Chungi Amar Sadhu, Lahore•","Rs 24,500",2 weeks ago
iphone 13,"DHA Phase 2, Lahore•","Rs 115,000",2 weeks ago
Samsung S22ULTRA PTA,"Bahria Town, Lahore•","Rs 170,000",3 days ago
REDMI 12 8/128GB,"Gulistan-e-Jauhar, Karachi•","Rs 3,920",4 weeks ago
Iphone se (2020),"College Road, Sahiwal•","Rs 40,500",30 minutes ago
iphone 11,"Noor Town, Islamabad•","Rs 75,000",30 minutes ago
Motorola G purre non pta,"Samanabad, Lahore•","Rs 23,000",33 minutes ago
lg v60 Exchange Possible oneplus,"Satellite Town, Gujranwala•","Rs 44,000",33 minutes ago
iphone 8 plus,"Gulshan Abad, Rawalpindi•","Rs 45,000",33 minutes ago
i phone 6 64 gb pta approved,"Blue Area, Islamabad•","Rs 11,000",33 minutes ago
one plus 6T for sale,"Data Ganj Bakhsh Town, Lahore•","Rs 32,000",33 minutes ago
iphone 12 pro NON PTA,"Wah Cantt, Wah•","Rs 130,000",33 minutes ago
Iphone 14 128 gb Jv Box Pack non active,"F-6, Islamabad•","Rs 143,000",33 minutes ago
iPhone 7 128gb,"Sarwar Road, Rawalpindi•","Rs 16,000",33 minutes ago
lg v60 dual sim,"I-10, Islamabad•","Rs 53,000",33 minutes ago
Iphone 11 for sale 03190229660,"Jail Road, Faisalabad•","Rs 65,000",33 minutes ago
iphone xs,"Bilal Town, Abbottabad•","Rs 55,000",33 minutes ago
iPhone 12 Pro,"Askari 14, Rawalpindi•","Rs 148,000",5 days ago
IPhone 11 Dual PTA 128GB All Colors,"Gulberg 3, Lahore•","Rs 110,000",46 minutes ago
Vivo Y85 4/64 Full Box Complete Accessories,"Faisalabad, Punjab•","Rs 12,800",2 weeks ago
iphone 11 total genuine water pack stock available,"Johar Town, Lahore•","Rs 61,999",1 week ago
i phone 15 pro natural titanium,"Jalilabad, Multan•","Rs 464,000",2 weeks ago
iphone Series Avalible In Good Price,"Allama Iqbal Road, Sialkot•","Rs 45,000",2 weeks ago
IPHONE 7,"Satellite Town, Rawalpindi•","Rs 23,000",34 minutes ago
iphone 11 non PTA waterpack,"Allama Iqbal Road, Mirpur•","Rs 65,000",34 minutes ago
iPhone 7 plus 128gb  WhatsApp number 0325/15/12/151,"Ataturk Avenue, Islamabad•","Rs 26,500",34 minutes ago
vivo y83 6 128,"Chaklala, Rawalpindi•","Rs 9,500",34 minutes ago
s 23 ultra box pack non PTA,"Wahdat Road, Lahore•","Rs 255,000",34 minutes ago
apple iphone 12pro -128Gb With box,"Gulistan-e-Jauhar Block 3, Karachi•","Rs 100,000",34 minutes ago
OPPO mobile A76 four sale,"Green Town, Lahore•","Rs 1,234",34 minutes ago
Infinix hot 30 (8+8) 128gb 8 month warranty,"Sanda, Lahore•","Rs 3,500",34 minutes ago
Oppo a1k 2/32 officially approved 03151006832,"Gulshan-e-Iqbal, Karachi•","Rs 7,500",34 minutes ago
Apple Iphone 11Pro max 256Gb PTA Approved,"University Road, Sargodha•","Rs 130,000",34 minutes ago
iphone xr non pta,"Rehman Colony, Faisalabad•","Rs 53,500",35 minutes ago
Infinix hot 11 play,"Blue Area, Islamabad•","Rs 20,000",35 minutes ago
iphones available instalment Whatsapp py total detail +923192932703,"Blue Town, Lahore•","Rs 8,886",35 minutes ago
oppo A16 6gb 128gb oppo A17 6gb 128gb PTA approved life time warranty,"D Ground, Faisalabad•","Rs 21,499",4 days ago
realme c67 8/128gb,"Jhang Sadar, Jhang•","Rs 47,500",2 weeks ago
One plus 10 pro,"Khanna Pul, Islamabad•","Rs 116,000",2 days ago
I phone 14 pro max PTA aproved,"Sargodha to Bhalwal Road, Sargodha•","Rs 400,000",6 days ago
iphone8 64 GB,"Shah Faisal Colony, Karachi•","Rs 40,000",4 days ago
iPhone,"Dhangri Chowk, Mansehra•","Rs 95,000",14 hours ago
iphones available instalment Whatsapp py total detail +923192932703,"Blue Town, Lahore•","Rs 8,886",35 minutes ago
"Iphone 15 PRO PTA approved
128 gb","Gulberg 2, Lahore•","Rs 460,000",35 minutes ago
Samsung Galaxy note 10 plus 5g for sale 03305163576,"Allama Iqbal Intl Airport, Lahore•","Rs 43,700",35 minutes ago
vivo s1 pro,"Kohsar Heaven City, Hyderabad•","Rs 42,000",35 minutes ago
iphone 11 128 gb non pta  jv unlock  water pack,"Federal B Area, Karachi•","Rs 63,000",35 minutes ago
iPhone 7 water pack phone,"Lahore Railway Station Road, Lahore•","Rs 16,000",35 minutes ago
Motorola G23 8Gb Ram 128Gb Rom Full warranty Official Pta Approved,"Saddar, Karachi•","Rs 34,000",35 minutes ago
iphones available instalment Whatsapp py total detail +923192932703,"Shaheen Town, Islamabad•","Rs 6,689",36 minutes ago
vivo y 85 for salr,"North Karachi, Karachi•","Rs 14,000",36 minutes ago
vivo y81s PTA approved,"Korangi Road, Karachi•","Rs 13,500",36 minutes ago
iPhone 7 Plus,"Abdullahpur, Faisalabad•","Rs 42,000",36 minutes ago
oppo a57 3/32 10by 10 contion,"Gajju Matah, Lahore•","Rs 9,800",36 minutes ago
samsung s10 8 128,"100 Ft Road, Sukkur•","Rs 38,000",36 minutes ago
Samsung S23 Ultra PTA,"Model Town Link Road, Lahore•","Rs 240,000",2 days ago
REALME C67 (8GB+8GB 128GB) 108MP CAMERA 33W CHARG SNAPDRAGON 685,"Dharampura, Lahore•","Rs 44,000",2 days ago
Iphone 14 pro max 512GB Non PTA,"F-7 Markaz, Islamabad•","Rs 268,000",3 days ago
vivo y83 6/128,"Saddar, Lahore•","Rs 13,000",4 days ago
iPhone 14 pro PTA Approved  256gb,"PECHS, Karachi•","Rs 360,000",1 day ago
samsung s10 FD model dual sim pta approved,"Allama Iqbal Town, Lahore•","Rs 40,000",3 days ago
Redmi 12 C 4+4 gb 128,"Latifabad Unit 8, Hyderabad•","Rs 26,000",36 minutes ago
Redmi note 9 4+2/128,"Gujjarpura, Lahore•","Rs 28,000",36 minutes ago
INFINIX HOT 10 WITH BOX. . . ALL OK 4/64,"Liaquatabad, Karachi•","Rs 27,000",36 minutes ago
iPhone 7 256 GB Urgent sale 03420987931,"Bahawalpur Yazman Road, Bahawalpur•","Rs 18,000",37 minutes ago
iphone 7 pta approved 128 gb,"Chauburji Park Road, Lahore•","Rs 19,500",36 minutes ago
realme c2 3/32,"Gujjarpura, Lahore•","Rs 10,000",35 minutes ago
Realme 5 With Box,"Korangi Road, Karachi•","Rs 18,000",35 minutes ago
Realme 5 4/64  used with box 10/10,"Allahwala Town, Karachi•","Rs 23,000",35 minutes ago
Iphone 6 64Gb PTA APPROVED,"Wapda Town Phase 2, Lahore•","Rs 11,000",37 minutes ago
Oppo A76 for sale,"Paris Road, Sialkot•","Rs 42,000",37 minutes ago
Samsung S7 edge,"Gulzar Colony, Gujranwala•","Rs 13,500",37 minutes ago
iphone 12 Pro,"Askari 7, Rawalpindi•","Rs 125,000",37 minutes ago
iPhone x pta approved,"Others, Peshawar•","Rs 51,000",37 minutes ago
GOOGLE PIXEL 8 PRO SOFTWARE UNLOCK AVAILABLE AT MOBILE WALA,"Gulistan-e-Jauhar, Karachi•","Rs 200,000",19 hours ago
iphone 7 plus,"Saddar, Karachi•","Rs 22,999",6 days ago
Google Pixel 7A 8gb 128gb factory unlocked waterpack,"Saddar, Karachi•","Rs 92,000",2 weeks ago
Iphone 13 Pro 256gb Non pta,"Mustafa Town, Lahore•","Rs 156,000",1 day ago
Xperia 5 mark 2 3850 pta tax,"Liaquat Bazar, Quetta•","Rs 38,500",3 days ago
I PHONE X 256GB PTA APPROVED READ   ADS CAREFUL,"Gulberg 3, Lahore•","Rs 60,000",3 weeks ago
oneplus 9 5G single sim approved 8/128,"Model Town, Gujranwala•","Rs 70,000",37 minutes ago
Iphone SE,"Nazimabad 4, Karachi•","Rs 28,000",37 minutes ago
iphones available instalment Whatsapp py total detail +923192932703,"Danial Town, Islamabad•","Rs 5,890",38 minutes ago
Oppo a54 with box and 18wt charger,"College Road, Faisalabad•","Rs 20,500",38 minutes ago
Tecno spark 20c,"Malir, Karachi•","Rs 28,000",38 minutes ago
15 pro max jv kit,"Chungi Amar Sadhu, Lahore•","Rs 225,000",38 minutes ago
realme 3 64 gb,"Wadhu Wah Road, Hyderabad•","Rs 16,000",38 minutes ago
Samsung a50   golden piece,"Okara Road, Okara•","Rs 25,000",38 minutes ago
Vivo V21E,"Burewala, Punjab•","Rs 65,000",38 minutes ago
iphones available instalment Whatsapp py total detail +923192932703,"Toya Mohallah, Jhelum•","Rs 9,980",38 minutes ago
oneplus 10 pro 5g 12+12gb/256gb,"Kassowal, Chichawatni•","Rs 165,000",38 minutes ago
moto one 5g 4. . gb 128. . gb Pta Aprode Price 25000,"Orangi Town, Karachi•","Rs 25,000",38 minutes ago
iphone x PTA approved for sale 03266068451,"Ghulam Pura, Gujranwala•","Rs 40,900",39 minutes ago
Oppo A17 6gb 128gb dual sim pta approved,"Gulberg, Lahore•","Rs 22,999",1 week ago
Honor 7x 4+64 for sale 0333-4812233,"Saddar, Rawalpindi•","Rs 15,500",2 weeks ago
Iphone 13 Pro 256GB NON PTA,"Others, Multan•","Rs 170,000",1 day ago
14 Pro Max 128GB With Box,"Mall Road, Lahore•","Rs 202,000",5 days ago
good price,"Sahiwal, Punjab•",Rs 250,1 week ago
S21 Ultra 12/128gb Approve,"Saddar, Karachi•","Rs 135,000",3 days ago
iphone 12 pro non pta 3 month sim working 9,"Model Town - Block R, Lahore•","Rs 90,000",37 minutes ago
iPhone 11 64gb factory,"Model Town, Gujranwala•","Rs 65,000",39 minutes ago
Urgent  Sale,"Gujjar Colony, Lahore•","Rs 26,000",39 minutes ago
Apple Iphone 11Pro Max 256Gb PTA Approved,"DHA Defence, Lahore•","Rs 130,000",39 minutes ago
oppo Reno 6,"Satellite Town, Multan•","Rs 75,000",39 minutes ago
iPhone 12   128 GB,"Akbar Road, Okara•","Rs 97,000",39 minutes ago
"apple iphone 12 , 128gb (Non PTA)","Dream Garden, Multan•","Rs 95,000",39 minutes ago
condition 10+7,"Ali Pura Road, Gujrat•","Rs 17,000",39 minutes ago
i Phone 2 pin orignal charger with cable,"Saddar, Rawalpindi•","Rs 2,450",39 minutes ago
Samsung a3 2016 READ ADD,"Gulshan-e-Iqbal Town, Karachi•","Rs 4,500",39 minutes ago
Galaxy A21s  (4/128 gb),"Gulistan-e-Jauhar, Karachi•","Rs 30,000",39 minutes ago
back change,"Baghbanpura, Lahore•","Rs 26,000",39 minutes ago
moto z force droid 4 32 all okay condition 10by10,"Federal B Area - Block 8, Karachi•","Rs 14,000",40 minutes ago
Google Pixel 6A 6gb 128gb sim working,"Saddar, Karachi•","Rs 45,000",3 days ago
IPHONE 15 PRO MAX JV ALL COLOUR,"Ferozepur Road, Lahore•","Rs 233,000",1 week ago
Iphone 11 pro max,"Medical College Road, Sahiwal•","Rs 210,000",4 days ago
IPhone15,"Bahria Town, Islamabad•","Rs 245,000",4 days ago
IPhone 12 Pro 128 GB,"E-11, Islamabad•","Rs 142,000",5 days ago
IPhone 11 Pro Max PTA APPROAVE for sale,"Bahadurabad, Karachi•","Rs 175,000",4 days ago
Infinix note 12 (8+8) 128gb,"University Road, Sargodha•","Rs 36,000",40 minutes ago
"vivo v17 
10/10 condition
crystal sky color
8 GB RAM 256 GB","Dhoke Hassu, Rawalpindi•","Rs 39,000",40 minutes ago
IPhone SE 2020 PTA Approved,"Indus Highway, Jampur•","Rs 60,000",40 minutes ago
iphone xs,"Havelian, Abbottabad•","Rs 55,000",40 minutes ago
